Cien años de soledad,Gabriel García Márquez,9789560000201,Disponible
Rayuela,Julio Cortázar,9789560000202,Disponible
Pedro Páramo,Juan Rulfo,9789560000203,Disponible
El túnel,Ernesto Sabato,9789560000204,Disponible
La casa de los espíritus,Isabel Allende,9789560000205,Disponible
Los detectives salvajes,Roberto Bolaño,9789560000206,Disponible
El Aleph,Jorge Luis Borges,9789560000207,Disponible
La ciudad y los perros,Mario Vargas Llosa,9789560000208,Disponible
El amor en los tiempos del cólera,Gabriel García Márquez,9789560000209,Disponible
Frankenstein,Mary Shelley,1234512345123,disponible
